game.stats.averagewin,Average Win D/C:,Алмазов за клик (ср.),Berlian untuk menekan (lih.):
game.stats.dailyrank,Daily Rank Wins:,Победы (ежедн.):,Peringkat harian menang:
game.stats.days,Age (days):,Дней в игре:,Usia (hari):
game.stats.lucky,Lucky Rate:,Удача:,Tingkat keberuntungan:
game.stats.title,Stats,Статистика,Statistik
game.stats.totalclicks,Total clicks:,Всего кликов:,Total Klik:
game.stats.totaldiamond,Total Diamonds Won:,Выиграно алмазов:,Total Diamonds menang:
game.stats.weeklyrank,Weekly Rank Wins:,Победы (еженед.):,Peringkat mingguan menang:
game.stats.winclicks,Successfull Clicks:,Выигрышных кликов:,Klik Sukses:
game.swap.buy,Buy Coin,Покупка монет,Beli Koin
game.swap.enter,Enter count,Введите кол-во,Masukkan hitungan
game.swap.howmuch,How many coins do you want to buy?,Как много монет вы хотите купить?,Berapa banyak koin yang ingin Anda beli?
game.swap.swap,Swap,Обмен,Menukar
game.up.cost,Do you want to level up for {0}  {0:coin|coins}?,Вы хотите улучшить уровень за {0} {0:монета|монеты|монет}?,Apakah Anda ingin naik level untuk {0} koin?
game.up.max,Max lvl,Макс. уровень,Max LVL
game.up.maxtext,you have reached the maximum level,Вы достигли максимального уровня,Anda telah mencapai level maksimal
game.up.uptext,Upgrade to {0} lvl,Улучшить до {0} уровня,Tingkatkan ke {0} lvl
game.upgrade.upgrade,Upgrade,Улучшение,Meningkatkan
load,LOAD,ЗАГРУЗКА,MEMUAT
login.alreadyhaveacc,Already have an account?  <#34adfc><size=45>Sign in,Уже есть аккаунт?  <#34adfc><size=45>Войти,Sudah memiliki akun? <#34adfc><size=45>Masuk
login.autosignin,Auto sign in,Автовход,Masuk otomatis
login.clientisold,"Game client is old\nPlease, update the app","Клиент игры устарел\nПожалуйста, обновите игру","Game Client sudah lama \ nPlease, perbarui aplikasi"
login.email,E-mail,Почта,Surel
login.email.send,We will send code to your email,Мы отправим Вам код подтверждения,Kami akan mengirim kode ke email Anda
login.emailcode,Verification code from e-mail,Код подтверждения с вашей почты,Kode verifikasi dari email
login.enteremail,enter your email,Введите свою почту,Masukkan email Anda
login.enterotp,Enter the OTP that was sent to your email,"Введите код, который был отправлен Вам на почту",Masukkan OTP yang dikirim ke email Anda
login.failed,Login Failed,Неудачный вход,Gagal masuk
login.forgotpass,Forgot password?,Забыли пароль?,Tidak ingat kata sandi?
login.haveotp,Already have a code?  <#34adfc><size=45>Sign up,Есть код? <#34adfc><size=45>Регистрация,Sudah punya kode? <#34adfc><size=45>Daftar
login.invalidlengthemail,"Invalid email length, email must contain {0} or more characters",Почта должна содержать {0} или более символов,"Panjang email tidak valid, email harus berisi {0} atau lebih karakter"
login.invalidlengthlogin,"Invalid login length, login must contain {0} or more characters",Логин должен содержать {0} или более символов,"Panjang login tidak valid, login harus berisi {0} atau lebih karakter"
login.invalidlengthotp,"Invalid OTP length, OTP must contain {0} characters",Длина кода должна составлять {0} символов,"Panjang OTP yang tidak valid, OTP harus berisi karakter {0}"
login.invalidlengthpass,"Invalid password length, password must contain {0} or more characters",Пароль должен содержать {0} или более символов,"Panjang kata sandi tidak valid, kata sandi harus berisi {0} atau lebih karakter"
login.invalidotp,Incorrect OTP,Неправильный код,OTP yang salah
login.otpcaps,OTP,КОД,OTP
login.password,Password,Пароль,Kata sandi
login.rulestring,Enter numbers or latin letters,Введите числа или латинские буквы,Masukkan angka atau huruf Latin
login.serverfailed,Server connection failed,Соединение с сервером прервано,Koneksi server gagal
login.signin,Sign in,Войти,Masuk
login.signup,Sign up,Регистрация,Mendaftar
login.signupfailed,Sign Up Failed,Регистрация не удалась,Pendaftaran gagal
login.username,Username,Никнейм,Nama belakang
month,Month,Месяц,Bulan
ok,Ok,Ок,Oke
player,Player,Игрок,Pemain
time.d,d,д,h
time.h,h,ч,j
time.m,m,м,m
time.s,s,с,k
unknown,Unknown,Неизвестно,Tidak dikenal
vipcaps,VIP,ВИП,VIP
week,Week,Неделя,Pekan
login.autherror.unknown,"Unknown error, please try again later","Неизвестная ошибка, повторите попытку позже","Kesalahan yang tidak diketahui, coba lagi nanti"
login.autherror.authlogin,Incorrect username,Неверное имя пользователя,Nama pengguna yang salah
login.autherror.authotp,Incorrect verification code,Неверный код подтверждения,Kode verifikasi yang salah
login.autherror.authpassword,Incorrect password,Неверный пароль,kata kunci Salah
login.autherror.authloginregistered,Login already registered,Логин уже зарегистрирован,Masuk sudah terdaftar
login.autherror.authemailregistered,Email already registered,Электронная почта уже зарегистрирована,Email sudah terdaftar
login.autherror.authemailincorrect,Incorrect email,Неверный почтовый ящик,Email Salah
login.autherror.authloginnotfound,Username not found,Имя пользователя не найдено,Nama pengguna tidak ditemukan
login.autherror.sessionfailed,Session Failed,Сессия прервана,Sesi gagal
login.autherror.authreferinvalid,Refer id invalid,Id реферала недействителен,Rujuk ID tidak valid
login.autherror.authsendemailwait,"Email already sent, please wait or try again later","Письмо уже отправлено, пожалуйста, подождите или повторите попытку позже","Email sudah dikirim, harap tunggu atau coba lagi nanti"
login.autherror.authwalletother,You have another wallet connected,У вас подключен другой кошелек,Anda memiliki dompet lain yang terhubung
login.autherror.authwalletalreadyregister,Wallet already registered,Кошелек уже зарегистрирован,Dompet sudah terdaftar
login.referid,"Refer Id, Example: 1","Код реферала, например 1","Rujuk Id, Contoh: 1"
